Title,Author,Rating
The Couple Next Door,Shari Lapena,"3.80 avg rating — 668,129 ratings"
A Flicker in the Dark,Stacy Willingham,"3.98 avg rating — 530,335 ratings"
"Neverwhere (London Below, #1)",Neil Gaiman,"4.17 avg rating — 552,302 ratings"
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,"4.24 avg rating — 760,758 ratings"
Home Before Dark,Riley Sager,"4.06 avg rating — 263,154 ratings"
"Wonder (Wonder, #1)",R.J. Palacio,"4.36 avg rating — 1,157,697 ratings"
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"4.11 avg rating — 210,930 ratings"
King Lear,William Shakespeare,"3.91 avg rating — 230,337 ratings"
Final Girls,Riley Sager,"3.82 avg rating — 233,173 ratings"
The Things They Carried,Tim O'Brien,"4.14 avg rating — 333,658 ratings"
The Last Thing He Told Me,Laura Dave,"3.83 avg rating — 1,077,399 ratings"
Never Let Me Go,Kazuo Ishiguro,"3.85 avg rating — 791,847 ratings"
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"4.02 avg rating — 1,564,501 ratings"
"Delirium (Delirium, #1)",Lauren Oliver,"3.95 avg rating — 475,178 ratings"
Then She Was Gone,Lisa Jewell,"4.05 avg rating — 877,815 ratings"
White Oleander,Janet Fitch,"really liked it 4.00 avg rating — 361,713 ratings"
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,"really liked it 4.00 avg rating — 702,185 ratings"
The Only One Left,Riley Sager,"4.14 avg rating — 473,946 ratings"
"Foundation (Foundation, #1)",Isaac Asimov,"4.17 avg rating — 574,406 ratings"
"Ready Player One (Ready Player One, #1)",Ernest Cline,"4.23 avg rating — 1,251,781 ratings"
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,"3.98 avg rating — 11,803 ratings"
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"4.47 avg rating — 650,547 ratings"
Uncle Tom’s Cabin,Harriet Beecher Stowe,"3.91 avg rating — 237,644 ratings"
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"4.49 avg rating — 861,553 ratings"
East of Eden,John Steinbeck,"4.43 avg rating — 588,358 ratings"
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"4.41 avg rating — 642,659 ratings"
Midnight Sun [2008 Draft],Stephenie Meyer,"4.01 avg rating — 148,909 ratings"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"4.17 avg rating — 3,705,857 ratings"
The Once and Future King,T.H. White,"4.07 avg rating — 115,773 ratings"
James and the Giant Peach,Roald Dahl,"4.03 avg rating — 500,632 ratings"
I Know This Much Is True,Wally Lamb,"4.21 avg rating — 319,134 ratings"
All the Light We Cannot See,Anthony Doerr,"4.31 avg rating — 1,870,924 ratings"
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,"4.35 avg rating — 153,756 ratings"
Candide,Voltaire,"3.76 avg rating — 291,367 ratings"
The Complete Works,William Shakespeare,"4.48 avg rating — 57,424 ratings"
Paradise Lost,John Milton,"3.85 avg rating — 175,919 ratings"
Flow Down Like Silver,Ki Longfellow,"4.01 avg rating — 4,516 ratings"
The Time Machine,H.G. Wells,"3.89 avg rating — 547,683 ratings"
Invisible Man,Ralph Ellison,"3.92 avg rating — 196,765 ratings"
The Historian,Elizabeth Kostova,"3.80 avg rating — 272,367 ratings"
"Me Before You (Me Before You, #1)",Jojo Moyes,"4.26 avg rating — 1,745,163 ratings"
"Heidi (Heidi, #1-2)",Johanna Spyri,"4.04 avg rating — 207,228 ratings"
The Thirteenth Tale,Diane Setterfield,"3.98 avg rating — 321,633 ratings"
The Martian,Andy Weir,"4.42 avg rating — 1,217,472 ratings"
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,"4.23 avg rating — 178,709 ratings"
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"4.55 avg rating — 597,135 ratings"
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,"4.21 avg rating — 555,152 ratings"
"Graceling (Graceling Realm, #1)",Kristin Cashore,"4.07 avg rating — 474,561 ratings"
Leaves of Grass,Walt Whitman,"4.12 avg rating — 113,534 ratings"
"Walden or, Life in the Woods",Henry David Thoreau,"3.78 avg rating — 198,937 ratings"
"Are You There God? It’s Me, Margaret",Judy Blume,"3.94 avg rating — 250,199 ratings"
Different Seasons,Stephen        King,"4.36 avg rating — 215,089 ratings"
Hamlet,William Shakespeare,"4.02 avg rating — 1,010,198 ratings"
The Cider House Rules,John Irving,"4.17 avg rating — 191,427 ratings"
The Complete Maus,Art Spiegelman,"4.58 avg rating — 241,436 ratings"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"4.30 avg rating — 1,557,068 ratings"
Fangirl,Rainbow Rowell,"3.94 avg rating — 768,370 ratings"
Mrs. Dalloway,Virginia Woolf,"3.79 avg rating — 333,423 ratings"
"Legend (Legend, #1)",Marie Lu,"4.15 avg rating — 551,910 ratings"
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"4.28 avg rating — 318,713 ratings"
Sophie’s World,Jostein Gaarder,"3.97 avg rating — 272,901 ratings"
The Awakening,Kate Chopin,"3.68 avg rating — 220,381 ratings"
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"4.13 avg rating — 371,382 ratings"
Do Androids Dream of Electric Sheep?,Philip K. Dick,"4.09 avg rating — 488,033 ratings"
The Graveyard Book,Neil Gaiman,"4.16 avg rating — 558,309 ratings"
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"4.29 avg rating — 654,419 ratings"
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,"3.83 avg rating — 954,913 ratings"
The Monster at the End of this Book,Jon Stone,"4.46 avg rating — 126,237 ratings"
Middlemarch,George Eliot,"4.03 avg rating — 173,082 ratings"
Stardust,Neil Gaiman,"4.10 avg rating — 473,754 ratings"
Sophie’s Choice,William Styron,"4.17 avg rating — 93,185 ratings"
The Prince of Tides,Pat Conroy,"4.26 avg rating — 213,035 ratings"
Black Beauty,Anna Sewell,"really liked it 4.00 avg rating — 291,696 ratings"
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"4.45 avg rating — 606,231 ratings"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"3.74 avg rating — 397,783 ratings"
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"3.97 avg rating — 553,840 ratings"
"A Time to Kill (Jake Brigance, #1)",John Grisham,"4.12 avg rating — 817,318 ratings"
Number the Stars,Lois Lowry,"4.19 avg rating — 602,223 ratings"
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,"4.05 avg rating — 580,860 ratings"
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,"3.81 avg rating — 1,008,193 ratings"
The Art of Racing in the Rain,Garth Stein,"4.23 avg rating — 541,487 ratings"
V for Vendetta,Alan             Moore,"4.26 avg rating — 318,371 ratings"
Eleanor & Park,Rainbow Rowell,"3.93 avg rating — 1,229,858 ratings"
War and Peace,Leo Tolstoy,"4.17 avg rating — 353,017 ratings"
Beowulf,Unknown,"3.49 avg rating — 334,890 ratings"
American Psycho,Bret Easton Ellis,"3.81 avg rating — 343,644 ratings"
Franny and Zooey,J.D. Salinger,"3.96 avg rating — 232,818 ratings"
A Little Life,Hanya Yanagihara,"4.30 avg rating — 824,997 ratings"
White Fang,Jack London,"4.03 avg rating — 199,754 ratings"
Love You Forever,Robert Munsch,"4.38 avg rating — 244,011 ratings"
The Witches,Roald Dahl,"4.18 avg rating — 416,550 ratings"
"Allegiant (Divergent, #3)",Veronica Roth,"3.60 avg rating — 1,111,891 ratings"
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,"4.73 avg rating — 297,948 ratings"
A Short History of Nearly Everything,Bill Bryson,"4.22 avg rating — 408,602 ratings"
"The Gunslinger (The Dark Tower, #1)",Stephen        King,"3.91 avg rating — 644,043 ratings"
"If I Stay (If I Stay, #1)",Gayle Forman,"3.91 avg rating — 949,500 ratings"
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"4.57 avg rating — 460,920 ratings"
The Complete Novels,Jane Austen,"4.57 avg rating — 33,750 ratings"
"The Power of One (The Power of One, #1)",Bryce Courtenay,"4.35 avg rating — 92,430 ratings"
Gulliver’s Travels,Jonathan Swift,"3.59 avg rating — 291,343 ratings"
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"4.19 avg rating — 566,693 ratings"
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"4.58 avg rating — 2,924,595 ratings"
Tuck Everlasting,Natalie Babbitt,"3.90 avg rating — 287,056 ratings"
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"4.11 avg rating — 4,292,735 ratings"
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,"4.14 avg rating — 452,346 ratings"
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,"3.83 avg rating — 896,092 ratings"
11/22/63,Stephen        King,"4.35 avg rating — 599,974 ratings"
’Salem’s Lot,Stephen        King,"4.10 avg rating — 627,680 ratings"
Bel Canto,Ann Patchett,"3.94 avg rating — 307,288 ratings"
A Portrait of the Artist as a Young Man,James Joyce,"3.64 avg rating — 159,477 ratings"
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,"4.45 avg rating — 1,325,129 ratings"
Inferno,Dante Alighieri,"4.03 avg rating — 197,704 ratings"
The Grapes of Wrath,John Steinbeck,"4.02 avg rating — 960,997 ratings"
القرآن الكريم,Anonymous,"4.38 avg rating — 71,050 ratings"
Tao Te Ching,Lao Tzu,"4.29 avg rating — 173,854 ratings"
Cloud Atlas,David Mitchell,"4.01 avg rating — 260,173 ratings"
Cold Mountain,Charles Frazier,"3.89 avg rating — 247,165 ratings"
As I Lay Dying,William Faulkner,"3.72 avg rating — 179,703 ratings"
The Hunchback of Notre-Dame,Victor Hugo,"4.02 avg rating — 211,138 ratings"
Go Ask Alice,Beatrice Sparks,"3.74 avg rating — 284,524 ratings"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"4.19 avg rating — 243,153 ratings"
Mansfield Park,Jane Austen,"3.86 avg rating — 368,109 ratings"
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"4.05 avg rating — 476,038 ratings"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"3.83 avg rating — 632,997 ratings"
The Martian Chronicles,Ray Bradbury,"4.16 avg rating — 276,828 ratings"
Brisingr (The Inheritance Cycle #3),Christopher Paolini,"4.11 avg rating — 401,489 ratings"
A Separate Peace,John Knowles,"3.60 avg rating — 228,071 ratings"
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,"4.16 avg rating — 346,723 ratings"
Steppenwolf,Hermann Hesse,"4.13 avg rating — 203,196 ratings"
The BFG,Roald Dahl,"4.23 avg rating — 510,666 ratings"
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,"3.77 avg rating — 614,410 ratings"
"Red Queen (Red Queen, #1)",Victoria Aveyard,"3.99 avg rating — 1,115,844 ratings"
Robinson Crusoe,Daniel Defoe,"3.68 avg rating — 321,970 ratings"
"Obsidian (Lux, #1)",Jennifer L. Armentrout,"4.13 avg rating — 291,803 ratings"
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"3.92 avg rating — 1,326,054 ratings"
Circe,Madeline Miller,"4.23 avg rating — 1,237,022 ratings"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"4.64 avg rating — 2,822,992 ratings"
Where the Crawdads Sing,Delia Owens,"4.38 avg rating — 3,412,552 ratings"
"Stargirl (Stargirl, #1)",Jerry Spinelli,"3.77 avg rating — 333,001 ratings"
Hidden Pictures,Jason Rekulak,"4.16 avg rating — 468,610 ratings"
The Amazing Adventures of Kavalier & Clay,Michael Chabon,"4.18 avg rating — 208,579 ratings"
Room,Emma Donoghue,"4.08 avg rating — 823,013 ratings"
The Remains of the Day,Kazuo Ishiguro,"4.14 avg rating — 336,788 ratings"
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"4.10 avg rating — 374,012 ratings"
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"4.16 avg rating — 197,428 ratings"
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,"4.38 avg rating — 405,208 ratings"
زندگی مه آلود پریا,سید مرتضی مصطفوی,"3.34 avg rating — 1,030 ratings"
Doctor Zhivago,Boris Pasternak,"4.01 avg rating — 100,402 ratings"
The Plague,Albert Camus,"4.02 avg rating — 294,502 ratings"
Coraline,Neil Gaiman,"4.13 avg rating — 751,571 ratings"
The Firm,Robin Waterfield,"4.06 avg rating — 633,879 ratings"
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"3.78 avg rating — 239,633 ratings"
Dear John,Nicholas Sparks,"4.04 avg rating — 611,724 ratings"
The English Patient,Michael Ondaatje,"3.86 avg rating — 136,506 ratings"
Midnight’s Children,Salman Rushdie,"3.98 avg rating — 129,714 ratings"
All the Bright Places,Jennifer Niven,"4.12 avg rating — 608,242 ratings"
The Last Song,Nicholas Sparks,"4.16 avg rating — 566,071 ratings"
Like Water for Chocolate,Laura Esquivel,"3.95 avg rating — 384,146 ratings"
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"4.36 avg rating — 1,503,703 ratings"
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,"3.98 avg rating — 333,199 ratings"
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,"4.34 avg rating — 374,921 ratings"
The Invisible Life of Addie LaRue,Victoria E. Schwab,"4.17 avg rating — 1,337,487 ratings"
Midnight in the Garden of Good and Evil,John Berendt,"3.92 avg rating — 286,129 ratings"
A Streetcar Named Desire,Tennessee Williams,"3.98 avg rating — 326,026 ratings"
My Ántonia,Willa Cather,"3.84 avg rating — 143,613 ratings"
"The One (The Selection, #3)",Kiera Cass,"4.14 avg rating — 747,264 ratings"
Local Woman Missing,Mary Kubica,"4.13 avg rating — 648,327 ratings"
Breakfast of Champions,Kurt Vonnegut Jr.,"4.06 avg rating — 272,674 ratings"
Breakfast at Tiffany’s and Three Stories,Truman Capote,"3.83 avg rating — 283,706 ratings"
The Virgin Suicides,Jeffrey Eugenides,"3.79 avg rating — 385,917 ratings"
The Prince,Niccolò Machiavelli,"3.84 avg rating — 365,818 ratings"
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"4.15 avg rating — 450,407 ratings"
The Origin of Species,Charles Darwin,"4.01 avg rating — 119,354 ratings"
A Fine Balance,Rohinton Mistry,"4.38 avg rating — 155,533 ratings"
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,"3.99 avg rating — 380,118 ratings"
"Hopeless (Hopeless, #1)",Colleen Hoover,"4.23 avg rating — 646,488 ratings"
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"4.62 avg rating — 1,186,592 ratings"
"Red, White & Royal Blue",Casey McQuiston,"4.06 avg rating — 1,154,793 ratings"
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"4.17 avg rating — 770,222 ratings"
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"4.39 avg rating — 981,578 ratings"
Infinite Jest,David Foster Wallace,"4.25 avg rating — 97,550 ratings"
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,"3.85 avg rating — 229,325 ratings"
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"4.46 avg rating — 973,850 ratings"
Death of a Salesman,Arthur Miller,"3.58 avg rating — 250,036 ratings"
The Nightingale,Kristin Hannah,"4.64 avg rating — 1,800,802 ratings"
Carrie,Stephen        King,"3.99 avg rating — 800,638 ratings"
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,"4.15 avg rating — 205,747 ratings"
We Were Liars,E. Lockhart,"3.66 avg rating — 1,245,112 ratings"
"Evermore (The Immortals, #1)",Alyson Noel,"3.59 avg rating — 296,217 ratings"
The Scarlet Pimpernel,Emmuska Orczy,"4.07 avg rating — 139,338 ratings"
"The Host (The Host, #1)",Stephenie Meyer,"3.86 avg rating — 1,035,532 ratings"
Persuasion,Jane Austen,"4.15 avg rating — 743,919 ratings"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"4.30 avg rating — 561,438 ratings"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"really liked it 4.00 avg rating — 730,538 ratings"
Jonathan Strange & Mr Norrell,Susanna Clarke,"3.87 avg rating — 247,477 ratings"
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,"4.05 avg rating — 390,503 ratings"
Snow Flower and the Secret Fan,Lisa See,"4.09 avg rating — 381,200 ratings"
Sharp Objects,Gillian Flynn,"4.01 avg rating — 1,159,279 ratings"
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,"3.96 avg rating — 461,363 ratings"
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"3.86 avg rating — 556,903 ratings"
"Matched (Matched, #1)",Ally Condie,"3.62 avg rating — 806,335 ratings"
Northanger Abbey,Jane Austen,"3.85 avg rating — 432,917 ratings"
"Faust, First Part",Johann Wolfgang von Goethe,"3.86 avg rating — 130,006 ratings"
"The Angel Experiment (Maximum Ride, #1)",James  Patterson,"4.07 avg rating — 229,525 ratings"
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,"4.03 avg rating — 504,805 ratings"
High Fidelity,Nick Hornby,"3.90 avg rating — 210,169 ratings"
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"4.14 avg rating — 956,738 ratings"
The Shipping News,Annie Proulx,"3.88 avg rating — 149,536 ratings"
"The Chosen (Reuven Malther, #1)",Chaim Potok,"4.07 avg rating — 95,831 ratings"
Shantaram,Gregory David Roberts,"4.28 avg rating — 230,568 ratings"
Night,Elie Wiesel,"4.38 avg rating — 1,319,835 ratings"
Waiting for Godot,Samuel Beckett,"3.84 avg rating — 214,810 ratings"
Nineteen Minutes,Jodi Picoult,"4.17 avg rating — 401,365 ratings"
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"4.09 avg rating — 493,307 ratings"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"4.47 avg rating — 2,368,575 ratings"
The Haunting of Hill House,Shirley Jackson,"3.82 avg rating — 355,283 ratings"
Houdini Heart,Ki Longfellow,"3.84 avg rating — 5,483 ratings"
To the Lighthouse,Virginia Woolf,"3.81 avg rating — 203,402 ratings"
"Neuromancer (Sprawl, #1)",William Gibson,"3.89 avg rating — 349,464 ratings"
Pet Sematary,Stephen        King,"4.08 avg rating — 657,310 ratings"
Redeeming Love,Francine  Rivers,"4.51 avg rating — 353,926 ratings"
Emma,Jane Austen,"4.05 avg rating — 938,439 ratings"
"I, Robot (Robot, #0.1)",Isaac Asimov,"4.21 avg rating — 366,029 ratings"
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"4.34 avg rating — 718,805 ratings"
The Reader,Bernhard Schlink,"3.78 avg rating — 223,691 ratings"
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,"3.76 avg rating — 634,807 ratings"
The Goldfinch,Donna Tartt,"3.96 avg rating — 996,585 ratings"
A Christmas Carol,Charles Dickens,"4.09 avg rating — 888,837 ratings"
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"4.58 avg rating — 988,813 ratings"
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,"4.30 avg rating — 20,791 ratings"
The Age of Innocence,Edith Wharton,"3.97 avg rating — 187,340 ratings"
Dubliners,James Joyce,"3.84 avg rating — 167,691 ratings"
